time,strain,media,rep,C,GC,swim,swarm,notes
8,CAE743B,0.5,3,0.5,NA,,,
8,CAE743B,0.3,1,0.4,NA,,,
8,CAE743B,0.3,2,0.4,NA,,,
8,CAE743B,0.3,3,0.5,NA,,,
8,CAE493,0.5,1,0.4,NA,,,
8,CAE493,0.5,2,0.5,NA,,,
8,CAE493,0.5,3,0.5,NA,,,
8,CAE493,0.3,1,0.4,NA,,,
8,CAE493,0.3,2,0.5,NA,,,
8,CAE493,0.3,3,0.4,NA,,,
8,OTI749C,0.5,1,0.5,0.5,,,
8,OTI749C,0.5,2,0.5,0.5,,,
8,OTI749C,0.5,3,0.6,0.6,,,
8,OTI749C,0.3,1,0.5,0.7,,,
8,OTI749C,0.3,2,NA,NA,,,spill/spread
8,OTI749C,0.3,3,0.4,0.6,,,
8,OTI158B,0.5,1,0.5,NA,,,
8,OTI158B,0.5,2,0.5,NA,,,
8,OTI158B,0.5,3,0.5,NA,,,
8,OTI158B,0.3,1,0.5,0.8,,,
8,OTI158B,0.3,2,0.5,0.6,,,
8,OTI158B,0.3,3,NA,NA,,,spill/spread
8,OTI755B,0.5,1,0.4,NA,,,
8,OTI755B,0.5,2,0.4,NA,,,
8,OTI755B,0.5,3,0.4,NA,,,
8,OTI755B,0.3,1,0.5,NA,,,
8,OTI755B,0.3,2,0.5,NA,,,
8,OTI755B,0.3,3,0.5,NA,,,
8,OTI031,0.5,1,0.5,0.6,,,
8,OTI031,0.5,2,0.5,0.7,,,
8,OTI031,0.5,3,0.5,0.8,,,
8,OTI031,0.3,1,0.8,1.4,,,
8,OTI031,0.3,2,0.8,1.4,,,
8,OTI031,0.3,3,0.9,1.4,,,
8,CAE466,0.5,1,0.5,NA,,,
8,CAE466,0.5,2,0.5,NA,,,
8,CAE466,0.5,3,0.5,NA,,,
8,CAE466,0.3,1,0.6,NA,,,
8,CAE466,0.3,2,0.4,NA,,,
8,CAE466,0.3,3,0.4,NA,,,
8,CAE709D,0.5,1,0.5,NA,,,
8,CAE709D,0.5,2,0.5,NA,,,
8,CAE709D,0.5,3,0.5,NA,,,
8,CAE709D,0.3,1,0.5,NA,,,
8,CAE709D,0.3,2,0.4,NA,,,
8,CAE709D,0.3,3,0.4,NA,,,
8,OTI201,0.5,1,0.7,NA,,,
8,OTI201,0.5,2,0.6,NA,,,
8,OTI201,0.5,3,0.6,NA,,,
8,OTI201,0.3,1,0.8,NA,,,
8,OTI201,0.3,2,0.8,1.1,,,
8,OTI201,0.3,3,0.8,1.2,,,
8,CAE499,0.5,1,0.6,NA,,,
8,CAE499,0.5,2,0.5,NA,,,
8,CAE499,0.5,3,0.5,NA,,,
8,CAE499,0.3,1,0.5,NA,,,
8,CAE499,0.3,2,0.5,NA,,,
8,CAE499,0.3,3,0.5,NA,,,
8,OTI320,0.5,1,0.7,0.7,,,
8,OTI320,0.5,2,0.7,0.7,,,
8,OTI320,0.5,3,0.7,0.7,,,
8,OTI320,0.3,1,0.6,0.6,,,
8,OTI320,0.3,2,0.6,0.6,,,
8,OTI320,0.3,3,0.6,0.6,,,
8,OTI420,0.5,1,0.4,0.4,,,
8,OTI420,0.5,2,0.4,0.4,,,
8,OTI420,0.5,3,0.4,0.4,,,
8,OTI420,0.3,1,0.4,0.4,,,whole plate?
8,OTI420,0.3,2,0.4,0.4,,,whole plate?
8,OTI420,0.3,3,0.4,0.4,,,whole plate?
8,OTI088,0.5,1,0.6,NA,,,
8,OTI088,0.5,2,0.6,NA,,,
8,OTI088,0.5,3,0.7,NA,,,
8,OTI088,0.3,1,0.8,NA,,,
8,OTI088,0.3,2,0.9,NA,,,
8,OTI088,0.3,3,0.8,NA,,,
8,OTI042,0.5,1,0.6,0.6,,,
8,OTI042,0.5,2,0.5,0.5,,,
8,OTI042,0.5,3,0.5,0.5,,,
8,OTI042,0.3,1,0.5,0.7,,,
8,OTI042,0.3,2,0.4,0.6,,,
8,OTI042,0.3,3,0.5,0.5,,,
8,OTI018,0.5,1,0.5,NA,,,
8,OTI018,0.5,2,0.4,NA,,,
8,OTI018,0.5,3,0.4,NA,,,
8,OTI018,0.3,1,0.4,NA,,,
8,OTI018,0.3,2,0.4,NA,,,
8,OTI018,0.3,3,0.4,NA,,,
8,CAE467,0.5,1,0.5,NA,,,
8,CAE467,0.5,2,0.5,NA,,,
8,CAE467,0.5,3,0.5,NA,,,
8,CAE467,0.3,1,0.5,NA,,,
8,CAE467,0.3,2,0.4,NA,,,
8,CAE467,0.3,3,0.4,NA,,,
8,OTI513,0.5,1,0.4,NA,,,
8,OTI513,0.5,2,0.5,NA,,,
8,OTI513,0.5,3,0.5,NA,,,
8,OTI513,0.3,1,0.4,0.6,,,
8,OTI513,0.3,2,0.5,0.7,,,
8,OTI513,0.3,3,0.5,0.6,,,
8,OTI552,0.5,1,0.5,NA,,,
8,OTI552,0.5,2,0.4,NA,,,
8,OTI552,0.5,3,0.5,NA,,,
8,OTI552,0.3,1,0.4,NA,,,
8,OTI552,0.3,2,0.4,NA,,,
8,OTI552,0.3,3,0.4,NA,,,
12,CAE494,0.5,1,0.6,NA,,,
12,CAE494,0.5,2,0.5,NA,,,
12,CAE494,0.5,3,0.5,NA,,,
12,CAE494,0.3,1,0.5,NA,,,
12,CAE494,0.3,2,0.5,NA,,,
12,CAE494,0.3,3,0.5,NA,,,
12,OTI127,0.5,1,0.6,NA,,,
12,OTI127,0.5,2,0.5,NA,,,
12,OTI127,0.5,3,0.6,NA,,,
12,OTI127,0.3,1,1.5,1.5,,,
12,OTI127,0.3,2,1.5,1.5,,,
12,OTI127,0.3,3,0.8,0.8,,,
12,CAE163,0.5,1,0.5,NA,,,
12,CAE163,0.5,2,0.5,NA,,,
12,CAE163,0.5,3,0.5,NA,,,
12,CAE163,0.3,1,0.4,NA,,,
12,CAE163,0.3,2,0.4,NA,,,
12,CAE163,0.3,3,0.4,NA,,,
12,OTI514,0.5,1,0.7,1,,,
12,OTI514,0.5,2,0.7,0.9,,,
12,OTI514,0.5,3,0.6,0.8,,,
12,OTI514,0.3,1,0.7,1.9,,,
12,OTI514,0.3,2,0.9,1.9,,,
12,OTI514,0.3,3,0.5,0.9,,,
12,CAE268,0.5,1,0.5,NA,,,
12,CAE268,0.5,2,0.5,NA,,,
12,CAE268,0.5,3,0.5,NA,,,
12,CAE268,0.3,1,0.4,NA,,,
12,CAE268,0.3,2,0.4,NA,,,
12,CAE268,0.3,3,0.4,NA,,,
12,OTI146,0.5,1,0.5,NA,,,
12,OTI146,0.5,2,0.5,NA,,,
12,OTI146,0.5,3,0.5,NA,,,
12,OTI146,0.3,1,0.4,NA,,,
12,OTI146,0.3,2,0.4,NA,,,
12,OTI146,0.3,3,0.4,NA,,,
12,CAE546,0.5,1,0.5,NA,,,
12,CAE546,0.5,2,0.5,NA,,,
12,CAE546,0.5,3,0.5,NA,,,
